0|  227528.99992064768
1|  227528.99825590738
2|  227528.96628880058
3|  227528.21293532618
4|  227510.98450794086
5|  227194.20750855206
6|  229780.81815950625
7|   227085.6111957512
8|   227473.9502922927
9|   227519.7769574237
10|  227524.82392663203
11|  227517.01605024695
12|  227486.51922179584
13|   227365.8006337501
14|   226905.8129433747
15|  225923.76810683555
16|   230128.6186912109
17|  231095.83525776278
18|  222843.11505391862
19|     229406.13806526
20|   224280.0259297149
21|   225059.7569492671
22|  224912.68409362008
23|  225837.66739416093
24|  225630.95022396088
25|   225713.7330732735
26|  225518.21259772818
27|   226086.2328810647
28|  224780.11581227407
29|  234539.75141069575
30|  224884.53802283117
31|  224893.18203754214
32|   224845.3282581899
33|  223744.68810036153
34|   240335.4045343564
35|  223700.90433578694
36|  224856.07301424816
37|   225142.6475769932
38|   225990.1108524593
39|  225572.87203938424
40|  226086.70411162023
41|   226218.7653410317
42|  226221.94325018078
43|  226301.71465977308
44|  226256.97933243573
45|  226180.31010421188
46|   226114.1085393389
47|  225858.88566612243
48|   225273.0578296027
49|   228266.5274407725
50|  224670.10210156025
51|  225725.77455752794
52|  226141.22162569762
53|  226244.62864074518
54|  226158.67951573303
55|    225425.460662761
56|   228211.9450586643
57|   224554.5051635001
58|   224554.4244213851
59|  226037.33703984498
60|  225643.86315555617
61|  226260.98564930263
62|   226369.0781478262
63|     226378.95441844
64|   226373.8499836102
65|  226279.86556591294
66|  225481.17131047382
67|  241587.41919552602
68|  225571.17731037483
69|  226254.50960420392
70|  226372.94805245538
71|   226386.4757913664
72|   226388.8686097383
73|  226392.37729028874
74|  226388.77123046742
75|   226390.5300080511
76|   226391.0163323205
77|  226388.59460139085
78|  226390.58057543286
79|  226389.59483667187
80|  226388.82593465174
81|  226390.22373321568
82|  226388.78450425758
83|  226389.05749665725
84|   226389.5290350631
85|  226388.35995873038
86|  226389.22587043978
87|   226388.7621641191
88|  226388.37075220962
89|  226388.97984410278
90|  226388.19373995328
91|  226388.50759203683
92|  226388.45898385948
93|  226388.00714682598
94|   226388.3986333166
95|  226387.95132084802
96|  226387.99631892904
97|  226388.02913829978
98|  226387.67260734356
99|  226387.86852847016
